YEAR,State,Total_Population,White_Alone_population,Black_Alone_population,American_Indian_or_Alaskan_Native_population,Asian_Alone_population,Not_Hispanic_population,Hispanic_poulation,Total_Victims,Total_Victims_with_Race,Black_total,White_total,Hispanic_total,Asian_total,Non_Hispanic_total
2019,OH,11689100,9552736,1525570,34010,291478,11218638,470462,24,23,9,13,NULL,NULL,NULL
2015,OK,3909500,2922493,302446,360185,87123,3513907,395593,32,31,9,21,1,NULL,NULL
2016,OK,3926331,2927248,304272,364222,89185,3517840,408491,26,22,4,15,3,NULL,NULL
2017,OK,3931316,2923281,305118,367825,90351,3512430,418886,26,24,3,14,2,2,3
2018,OK,3940235,2922715,306154,369808,92013,3511782,428453,33,32,5,22,1,1,3
2019,OK,3956971,2927354,307819,371104,94253,3518861,438110,34,34,10,21,1,NULL,2
2015,OR,4015792,3519694,83943,72036,176310,3510433,505359,15,14,1,13,NULL,NULL,NULL
2016,OR,4089976,3571132,87084,73544,187803,3568097,521879,15,14,1,13,NULL,NULL,NULL
2017,OR,4143625,3608387,89388,74883,194833,3604678,538947,12,11,2,7,2,NULL,NULL
2018,OR,4181886,3632626,91642,76104,199881,3628822,553064,16,15,2,12,1,NULL,NULL
2019,OR,4217737,3655136,93740,77115,204739,3650890,566847,18,16,1,13,2,NULL,NULL
2015,PA,12784826,10559623,1498205,45884,429938,11916284,868542,18,17,8,8,1,NULL,NULL
2016,PA,12782275,10523295,1509100,47266,443576,11882159,900116,22,19,10,9,NULL,NULL,NULL
2017,PA,12787641,10495030,1519909,48422,457270,11853595,934046,23,20,6,13,1,NULL,NULL
2018,PA,12800922,10475329,1531273,49678,469482,11827261,973661,23,21,9,8,4,NULL,NULL
2019,PA,12801989,10447062,1540092,50687,481877,11801839,1000150,14,12,6,6,NULL,NULL,NULL
2015,RI,1056065,895011,83524,10612,37203,902167,153898,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2016,RI,1056770,892309,85140,10875,37949,898231,158539,2,2,1,NULL,1,NULL,NULL
2017,RI,1055673,888967,86446,11107,37939,892975,162698,1,1,NULL,1,NULL,NULL,NULL
2018,RI,1058287,887718,88378,11340,38835,889927,168360,1,1,1,NULL,NULL,NULL,NULL
2019,RI,1059361,885518,90108,11453,39536,886717,172644,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,SC,4891938,3345763,1351360,26337,77311,4626356,265582,19,19,9,10,NULL,NULL,NULL
2016,SC,4957968,3393188,1361728,26840,81317,4683762,274206,17,17,4,13,NULL,NULL,NULL
2017,SC,5021268,3439656,1370339,27320,85452,4736589,284679,12,12,2,8,2,NULL,NULL
2018,SC,5084156,3485105,1378890,27695,89707,4788208,295948,12,12,3,8,NULL,1,NULL
2019,SC,5148714,3532048,1388017,28236,94111,4841596,307118,18,14,5,9,NULL,NULL,NULL
2015,SD,853988,729329,15841,77960,11311,822863,31125,3,3,NULL,2,NULL,NULL,1
2016,SD,862996,733518,17554,78943,12590,830054,32942,4,4,NULL,3,NULL,NULL,1
2017,SD,872868,738898,19376,79702,13770,837621,35247,3,3,NULL,2,NULL,1,NULL
2018,SD,878698,743263,19861,80186,13646,842199,36499,3,2,NULL,2,NULL,NULL,NULL
2019,SD,884659,748070,20332,80004,13699,847308,37351,3,3,NULL,2,NULL,NULL,1
2015,TN,6591170,5195387,1126417,29397,115311,6252109,339061,20,19,4,13,1,NULL,NULL
